molecular_weight,alogp,topological_polar_surface_area,hydrogen_bond_donors,hydrogen_bond_acceptors,MolWt_rdkit,LogP_rdkit,TPSA_rdkit,HDonors_rdkit,HAcceptors_rdkit,RotBonds_rdkit
161.16,1.23,53.09,2,2,161.16,1.2336999999999998,53.09,2.0,2.0,0.0
259.35,2.73,71.93,1,4,259.353,2.729380000000001,71.92999999999999,1.0,4.0,3.0
861.89,-7.28,441.34,15,17,861.889,-7.275430000000019,441.34,15.0,17.0,26.0
404.42,1.73,108.5,0,8,404.4150000000002,1.7260999999999997,108.50000000000003,0.0,8.0,4.0
138.21,2.08,17.82,0,2,138.214,2.08084,17.82,0.0,1.0,1.0
408.49,4.69,97.99,4,5,408.49400000000014,4.687700000000005,97.99000000000001,4.0,5.0,8.0
584.71,4.96,125.43,1,9,584.7060000000002,4.962700000000004,125.43,1.0,9.0,5.0
294.36,1.42,88.33,1,5,294.355,1.4152999999999998,88.33,1.0,5.0,6.0
560.6,0.6,154.89,2,11,560.5960000000003,0.5975000000000015,154.89,2.0,11.0,0.0
578.52,-1.18,217.97,7,14,578.5230000000003,-1.1822,217.96999999999997,7.0,14.0,8.0
979.52,19.2,78.9,0,6,979.5249999999994,19.201899999999988,78.9,0.0,6.0,49.0
1242.82,13.15,140.22,5,8,1242.818,13.15479999999998,140.22,5.0,7.0,9.0
497.59,-0.97,127.15,3,9,497.5850000000004,-0.967599999999994,127.15,3.0,9.0,7.0
345.44,1.23,70.67,2,4,345.4430000000001,1.2333,70.67,2.0,4.0,5.0
943.13,0.14,294.98,11,18,943.1340000000005,0.14050000000000673,294.97999999999996,11.0,18.0,9.0
392.54,4.76,72.83,1,4,392.5360000000002,4.764400000000004,72.83000000000001,1.0,4.0,7.0
611.83,2.43,150.17,7,7,611.8280000000003,2.4323700000000006,150.17000000000002,7.0,7.0,6.0
466.5,4.6,90.01,2,7,466.4970000000003,4.596200000000003,90.00999999999999,2.0,5.0,1.0
390.28,2.62,38.77,0,4,390.277,2.616900000000001,38.77,0.0,4.0,1.0
